order_id,customer_id,order_date,shipping_date,order_status,shipping_city,shipping_state
1,924,2025-07-01,2025-07-08,Processing,Gudivada,Maharashtra
2,4926,2026-01-19,2026-01-23,Delivered,Bhiwani,Kerala
3,2976,2025-09-03,2025-09-09,Delivered,Rewa,Tamil Nadu
4,1721,2025-02-26,2025-03-04,Delivered,Bharatpur,Delhi
5,1569,2026-05-15,2026-05-16,Delivered,Ulhasnagar,Tamil Nadu
6,2547,2026-07-11,2026-07-15,Processing,Sultan Pur Majra,Maharashtra
7,1048,2026-01-26,2026-01-27,Delivered,Sirsa,Telangana
8,4849,2025-01-17,2025-01-20,Cancelled,Sambhal,Telangana
9,3822,2024-12-30,2024-12-31,Cancelled,Machilipatnam,West Bengal
10,4511,2025-06-30,2025-07-05,Delivered,Rampur,Karnataka
11,2484,2025-07-12,2025-07-14,Delivered,Fatehpur,Andhra Pradesh
12,3780,2024-10-05,2024-10-11,Delivered,Gwalior,Delhi
13,1891,2025-05-04,2025-05-05,Delivered,Bhubaneswar,Maharashtra
14,1639,2026-07-01,2026-07-03,Delivered,Kolkata,Gujarat
15,161,2026-06-15,2026-06-16,Delivered,Danapur,Tamil Nadu
16,311,2026-02-03,2026-02-05,Delivered,Bokaro,Tamil Nadu
17,4413,2025-04-08,2025-04-09,Delivered,Anand,Gujarat
18,1602,2025-08-29,2025-09-01,Delivered,Kolkata,Kerala
19,2423,2024-09-20,2024-09-24,Processing,Alappuzha,Kerala
20,252,2025-11-12,2025-11-16,Shipped,Darbhanga,Tamil Nadu
21,4771,2026-06-04,2026-06-10,Delivered,Shivpuri,West Bengal
22,2116,2025-01-01,2025-01-03,Delivered,Chennai,Tamil Nadu
23,514,2025-09-19,2025-09-26,Delivered,Gulbarga,Andhra Pradesh
24,903,2025-02-14,2025-02-15,Shipped,Bhilai,Delhi
25,2322,2025-06-17,2025-06-21,Delivered,Kolhapur,Telangana
26,4681,2025-03-15,2025-03-17,Delivered,Suryapet,Telangana
27,4551,2025-01-11,2025-01-12,Delivered,Akola,Kerala
28,4652,2025-11-23,2025-11-28,Processing,Anantapuram,Kerala
29,4455,2024-09-28,2024-09-30,Delivered,Chittoor,Karnataka
30,2064,2025-05-29,2025-05-31,Delivered,Hajipur,Delhi
31,2815,2025-02-14,2025-02-15,Delivered,Medininagar,West Bengal
32,4976,2025-12-21,2025-12-25,Processing,Patna,Maharashtra
33,1860,2024-09-19,2024-09-25,Delivered,Tiruchirappalli,Gujarat
34,914,2024-10-18,2024-10-21,Cancelled,Bidhannagar,West Bengal
35,2967,2026-01-01,2026-01-03,Delivered,Ambattur,Gujarat
36,4890,2025-07-04,2025-07-10,Processing,Bhiwandi,Delhi
37,4443,2025-03-28,2025-04-02,Delivered,Ludhiana,Delhi
38,1366,2026-06-21,2026-06-28,Delivered,Jammu,Kerala
39,1017,2025-05-23,2025-05-28,Delivered,Ulhasnagar,Andhra Pradesh
40,3725,2025-01-23,2025-01-30,Delivered,Chennai,Tamil Nadu
41,2368,2026-05-25,2026-05-30,Delivered,Ramagundam,Kerala
42,4747,2024-12-18,2024-12-22,Processing,Unnao,Gujarat
43,876,2025-11-24,2025-11-26,Processing,Khora ,Karnataka
44,572,2026-04-30,2026-05-06,Processing,Loni,Delhi
45,3530,2025-03-23,2025-03-25,Shipped,Warangal,Rajasthan
46,1237,2026-09-07,2026-09-13,Shipped,Srinagar,Andhra Pradesh
47,3780,2024-10-06,2024-10-12,Delivered,Kota,Telangana
48,3490,2026-01-14,2026-01-18,Delivered,Ozhukarai,Tamil Nadu
49,2151,2025-03-25,2025-04-01,Delivered,Solapur,West Bengal
50,4961,2026-01-07,2026-01-14,Processing,Cuttack,Karnataka
51,1613,2026-05-22,2026-05-25,Processing,Firozabad,Delhi
52,2272,2025-04-29,2025-05-06,Delivered,Miryalaguda,Andhra Pradesh
53,2530,2025-08-02,2025-08-08,Shipped,Tumkur,Telangana
54,3033,2026-04-10,2026-04-16,Delivered,Jamalpur,West Bengal
55,2060,2024-10-16,2024-10-17,Processing,Guwahati,Karnataka
56,2895,2026-01-29,2026-01-31,Delivered,Lucknow,Telangana
57,499,2025-07-14,2025-07-19,Delivered,Hapur,Rajasthan
58,2945,2025-10-09,2025-10-16,Delivered,Ambattur,Telangana
59,3805,2025-09-13,2025-09-20,Shipped,Ulhasnagar,Gujarat
60,136,2024-12-02,2024-12-07,Processing,Udupi,Karnataka
61,4114,2026-04-04,2026-04-09,Delivered,Chandrapur,Tamil Nadu
62,4595,2026-09-11,2026-09-16,Delivered,Sambhal,Tamil Nadu
63,3315,2025-12-25,2025-12-27,Delivered,Imphal,Maharashtra
64,4736,2026-06-12,2026-06-16,Cancelled,Suryapet,Andhra Pradesh
65,3770,2025-05-27,2025-06-03,Delivered,Kumbakonam,Delhi
