product_id,product_name,category,subcategory,brand,unit_cost,unit_price
1,Football Product 1,Sports,Football,Brand C,16031.79,29865.38
2,Furniture Product 2,Home,Furniture,Brand D,16793.35,22453.25
3,Haircare Product 3,Beauty,Haircare,Brand D,13163.36,22359.36
4,Headphones Product 4,Electronics,Headphones,Brand B,9221.34,13249.92
5,Headphones Product 5,Electronics,Headphones,Brand B,14759.12,19056.25
6,Shirt Product 6,Fashion,Shirt,Brand C,9463.22,18575.59
7,Headphones Product 7,Electronics,Headphones,Brand D,16937.83,25901.12
8,Haircare Product 8,Beauty,Haircare,Brand D,3386.38,5401.41
9,Decor Product 9,Home,Decor,Brand B,10135.23,14907.18
10,Tablet Product 10,Electronics,Tablet,Brand B,8647.34,16598.93
11,Laptop Product 11,Electronics,Laptop,Brand A,23632.02,45186.42
12,Skincare Product 12,Beauty,Skincare,Brand B,29885.18,38648.58
13,Decor Product 13,Home,Decor,Brand E,11749.48,19862.0
14,Cricket Product 14,Sports,Cricket,Brand D,21405.91,41409.5
15,Makeup Product 15,Beauty,Makeup,Brand C,13327.99,21532.2
16,Skincare Product 16,Beauty,Skincare,Brand D,13672.65,25348.88
17,Shoes Product 17,Fashion,Shoes,Brand C,19806.93,35141.02
18,Cricket Product 18,Sports,Cricket,Brand D,2134.72,3467.12
19,Headphones Product 19,Electronics,Headphones,Brand D,23952.89,41805.95
20,Skincare Product 20,Beauty,Skincare,Brand E,24918.82,43767.5
21,Football Product 21,Sports,Football,Brand E,18179.68,22271.15
22,Skincare Product 22,Beauty,Skincare,Brand A,12738.65,22488.25
23,Shoes Product 23,Fashion,Shoes,Brand E,10404.5,20794.0
24,Cricket Product 24,Sports,Cricket,Brand C,19495.73,25521.71
25,Football Product 25,Sports,Football,Brand E,7281.11,11668.83
26,Skincare Product 26,Beauty,Skincare,Brand A,29471.48,52073.05
27,Fitness Product 27,Sports,Fitness,Brand B,1763.32,2529.68
28,Decor Product 28,Home,Decor,Brand A,2979.15,5769.75
29,Makeup Product 29,Beauty,Makeup,Brand D,382.63,601.23
30,Kitchen Product 30,Home,Kitchen,Brand C,16387.69,30577.24
31,Tablet Product 31,Electronics,Tablet,Brand B,28060.37,37158.96
32,Skincare Product 32,Beauty,Skincare,Brand B,14571.1,24153.93
33,Kitchen Product 33,Home,Kitchen,Brand C,5978.97,8306.64
34,Furniture Product 34,Home,Furniture,Brand E,4995.92,6719.5
35,Kitchen Product 35,Home,Kitchen,Brand A,5595.3,11007.11
36,Decor Product 36,Home,Decor,Brand E,16293.96,24952.92
37,Jeans Product 37,Fashion,Jeans,Brand B,28608.11,49786.23
38,Kitchen Product 38,Home,Kitchen,Brand B,13090.71,18383.19
39,Shoes Product 39,Fashion,Shoes,Brand A,7791.81,11250.97
40,Mobile Product 40,Electronics,Mobile,Brand E,1462.39,2543.32
41,Makeup Product 41,Beauty,Makeup,Brand C,19106.31,35578.69
42,Skincare Product 42,Beauty,Skincare,Brand E,28616.45,53561.4
43,Haircare Product 43,Beauty,Haircare,Brand B,5410.21,10103.77
44,Cricket Product 44,Sports,Cricket,Brand C,27707.96,45773.73
45,Shoes Product 45,Fashion,Shoes,Brand C,17685.29,25107.07
46,Skincare Product 46,Beauty,Skincare,Brand E,8416.74,15463.56
47,Skincare Product 47,Beauty,Skincare,Brand C,10977.03,18453.5
48,Skincare Product 48,Beauty,Skincare,Brand A,8208.66,13328.1
49,Saree Product 49,Fashion,Saree,Brand B,3196.6,4531.11
50,Jeans Product 50,Fashion,Jeans,Brand D,20842.68,29237.34
51,Shoes Product 51,Fashion,Shoes,Brand E,25717.75,49021.09
52,Kitchen Product 52,Home,Kitchen,Brand A,10419.47,20579.36
53,Makeup Product 53,Beauty,Makeup,Brand D,10811.47,14442.74
54,Furniture Product 54,Home,Furniture,Brand E,4014.93,7243.54
55,Football Product 55,Sports,Football,Brand D,10693.73,16499.55
56,Football Product 56,Sports,Football,Brand A,11374.77,18796.22
57,Decor Product 57,Home,Decor,Brand A,29092.07,38951.71
58,Cricket Product 58,Sports,Cricket,Brand B,2919.27,4522.41
59,Fitness Product 59,Sports,Fitness,Brand C,6053.67,10435.61
60,Shoes Product 60,Fashion,Shoes,Brand A,2179.21,3577.09
61,Makeup Product 61,Beauty,Makeup,Brand D,26030.25,39446.17
62,Cricket Product 62,Sports,Cricket,Brand B,11423.87,18953.7
63,Shirt Product 63,Fashion,Shirt,Brand E,19683.23,39288.56
64,Decor Product 64,Home,Decor,Brand A,2181.43,4280.92
65,Decor Product 65,Home,Decor,Brand B,16268.14,26165.87
66,Tablet Product 66,Electronics,Tablet,Brand C,21532.33,38964.38
67,Skincare Product 67,Beauty,Skincare,Brand B,13131.91,16629.38
68,Kitchen Product 68,Home,Kitchen,Brand D,16000.54,22580.31
69,Tablet Product 69,Electronics,Tablet,Brand C,9113.66,16466.01
70,Shirt Product 70,Fashion,Shirt,Brand B,9700.19,12038.09
71,Shoes Product 71,Fashion,Shoes,Brand B,1943.34,3246.64
72,Furniture Product 72,Home,Furniture,Brand E,11742.54,21997.93
73,Football Product 73,Sports,Football,Brand D,12692.16,18249.3
74,Mobile Product 74,Electronics,Mobile,Brand E,26065.32,50657.4
75,Cricket Product 75,Sports,Cricket,Brand C,7222.14,14069.66
76,Furniture Product 76,Home,Furniture,Brand E,11088.25,16826.87
77,Mobile Product 77,Electronics,Mobile,Brand A,9631.91,19004.29
78,Decor Product 78,Home,Decor,Brand A,5739.87,6909.88
79,Makeup Product 79,Beauty,Makeup,Brand C,9331.07,14936.17
80,Makeup Product 80,Beauty,Makeup,Brand E,25242.02,33285.17
81,Makeup Product 81,Beauty,Makeup,Brand D,6655.16,12482.01
82,Jeans Product 82,Fashion,Jeans,Brand A,14693.23,20097.5
83,Kitchen Product 83,Home,Kitchen,Brand D,25220.96,37536.42
84,Cricket Product 84,Sports,Cricket,Brand D,23560.71,45183.87
85,Furniture Product 85,Home,Furniture,Brand D,12473.53,22113.99
86,Shoes Product 86,Fashion,Shoes,Brand B,25531.19,42957.53
87,Jeans Product 87,Fashion,Jeans,Brand A,934.98,1627.11
88,Mobile Product 88,Electronics,Mobile,Brand A,11646.38,20815.8
89,Mobile Product 89,Electronics,Mobile,Brand A,3189.87,4206.25
90,Saree Product 90,Fashion,Saree,Brand E,10307.37,15966.27
91,Laptop Product 91,Electronics,Laptop,Brand C,14613.68,26057.18
92,Jeans Product 92,Fashion,Jeans,Brand B,26915.99,50300.75
93,Skincare Product 93,Beauty,Skincare,Brand B,22453.76,32790.91
94,Tablet Product 94,Electronics,Tablet,Brand C,17519.32,34459.77
95,Furniture Product 95,Home,Furniture,Brand D,16384.93,32591.94
96,Saree Product 96,Fashion,Saree,Brand B,29087.28,38107.57
97,Decor Product 97,Home,Decor,Brand D,27982.71,47038.62
98,Cricket Product 98,Sports,Cricket,Brand E,25649.66,46611.59
99,Laptop Product 99,Electronics,Laptop,Brand E,13529.29,24787.45
100,Football Product 100,Sports,Football,Brand B,8887.11,12331.08
101,Decor Product 101,Home,Decor,Brand B,16568.4,19899.76
102,Mobile Product 102,Electronics,Mobile,Brand B,27365.07,41144.92
103,Cricket Product 103,Sports,Cricket,Brand A,15600.66,21384.73
104,Football Product 104,Sports,Football,Brand B,8018.61,14138.68
105,Football Product 105,Sports,Football,Brand D,797.02,1046.31
106,Fitness Product 106,Sports,Fitness,Brand C,19163.06,30662.31
107,Shirt Product 107,Fashion,Shirt,Brand A,14493.03,27682.72
108,Shirt Product 108,Fashion,Shirt,Brand B,20278.12,39383.55
109,Makeup Product 109,Beauty,Makeup,Brand A,1707.15,2722.29
110,Kitchen Product 110,Home,Kitchen,Brand E,25001.4,39188.56
111,Kitchen Product 111,Home,Kitchen,Brand B,25918.2,39741.31
112,Fitness Product 112,Sports,Fitness,Brand B,27653.19,39956.62
113,Furniture Product 113,Home,Furniture,Brand D,1521.54,2201.27
114,Saree Product 114,Fashion,Saree,Brand A,13201.42,21544.17
115,Makeup Product 115,Beauty,Makeup,Brand C,20075.69,31270.88
116,Furniture Product 116,Home,Furniture,Brand A,19398.39,23593.73
117,Skincare Product 117,Beauty,Skincare,Brand B,29921.96,56795.15
118,Kitchen Product 118,Home,Kitchen,Brand B,11566.94,17176.14
119,Skincare Product 119,Beauty,Skincare,Brand B,19632.06,35141.99
120,Football Product 120,Sports,Football,Brand A,25611.35,35797.4
121,Shirt Product 121,Fashion,Shirt,Brand A,13845.7,22897.07
122,Jeans Product 122,Fashion,Jeans,Brand B,19106.7,34606.9
123,Saree Product 123,Fashion,Saree,Brand D,22049.5,34068.51
124,Headphones Product 124,Electronics,Headphones,Brand B,26199.18,49813.64
125,Furniture Product 125,Home,Furniture,Brand A,22063.92,32936.79
126,Skincare Product 126,Beauty,Skincare,Brand A,21775.2,35728.56
127,Saree Product 127,Fashion,Saree,Brand D,1566.39,1888.76
128,Haircare Product 128,Beauty,Haircare,Brand B,13886.95,22946.8
129,Headphones Product 129,Electronics,Headphones,Brand D,26888.03,39892.03
130,Cricket Product 130,Sports,Cricket,Brand A,6606.77,8124.61
131,Cricket Product 131,Sports,Cricket,Brand C,2328.86,4147.77
132,Furniture Product 132,Home,Furniture,Brand E,26393.97,47608.02
133,Skincare Product 133,Beauty,Skincare,Brand C,25123.8,44016.72
134,Shirt Product 134,Fashion,Shirt,Brand B,23172.77,30454.77
135,Laptop Product 135,Electronics,Laptop,Brand E,3415.59,6653.78
136,Fitness Product 136,Sports,Fitness,Brand C,11861.72,23343.18
137,Jeans Product 137,Fashion,Jeans,Brand C,25691.4,39782.75
138,Jeans Product 138,Fashion,Jeans,Brand E,6370.75,9566.5
139,Jeans Product 139,Fashion,Jeans,Brand D,13777.2,25347.19
140,Haircare Product 140,Beauty,Haircare,Brand B,14917.96,25285.19
141,Furniture Product 141,Home,Furniture,Brand E,8555.75,16944.1
142,Decor Product 142,Home,Decor,Brand A,22635.51,39073.93
143,Jeans Product 143,Fashion,Jeans,Brand B,13479.5,16736.08
144,Makeup Product 144,Beauty,Makeup,Brand A,14075.83,28147.94
145,Saree Product 145,Fashion,Saree,Brand D,15206.74,20563.2
146,Makeup Product 146,Beauty,Makeup,Brand C,12983.31,24562.24
147,Jeans Product 147,Fashion,Jeans,Brand D,2993.0,5461.47
148,Kitchen Product 148,Home,Kitchen,Brand E,15026.1,29385.77
149,Shoes Product 149,Fashion,Shoes,Brand D,20719.78,39310.9
150,Mobile Product 150,Electronics,Mobile,Brand E,27846.42,35519.94
151,Kitchen Product 151,Home,Kitchen,Brand C,7505.59,12042.96
152,Makeup Product 152,Beauty,Makeup,Brand C,16718.0,28980.14
153,Makeup Product 153,Beauty,Makeup,Brand D,9749.41,13249.34
154,Decor Product 154,Home,Decor,Brand A,22477.72,40110.01
155,Kitchen Product 155,Home,Kitchen,Brand D,28155.93,55551.73
156,Haircare Product 156,Beauty,Haircare,Brand B,28396.69,56734.65
157,Fitness Product 157,Sports,Fitness,Brand D,21096.66,27379.29
158,Decor Product 158,Home,Decor,Brand D,2679.89,5178.09
159,Tablet Product 159,Electronics,Tablet,Brand E,29084.98,57800.92
160,Laptop Product 160,Electronics,Laptop,Brand B,11834.62,17812.22
161,Shirt Product 161,Fashion,Shirt,Brand C,8186.67,10176.21
162,Mobile Product 162,Electronics,Mobile,Brand E,6731.69,11732.2
163,Headphones Product 163,Electronics,Headphones,Brand E,27016.81,39943.3
164,Tablet Product 164,Electronics,Tablet,Brand A,24376.41,33472.58
165,Decor Product 165,Home,Decor,Brand C,4422.77,7424.06
166,Makeup Product 166,Beauty,Makeup,Brand E,2103.5,3123.98
167,Saree Product 167,Fashion,Saree,Brand B,12258.73,18918.14
168,Makeup Product 168,Beauty,Makeup,Brand C,25543.5,33620.0
169,Decor Product 169,Home,Decor,Brand C,15897.14,25916.63
170,Haircare Product 170,Beauty,Haircare,Brand D,3169.89,6327.54
171,Football Product 171,Sports,Football,Brand B,12814.0,23310.46
172,Shirt Product 172,Fashion,Shirt,Brand C,12277.03,23626.66
173,Decor Product 173,Home,Decor,Brand D,27284.89,50675.5
174,Mobile Product 174,Electronics,Mobile,Brand C,3338.31,5831.14
175,Skincare Product 175,Beauty,Skincare,Brand A,1755.11,3424.89
176,Laptop Product 176,Electronics,Laptop,Brand E,14850.08,18039.1
177,Football Product 177,Sports,Football,Brand C,7556.1,10936.69
178,Football Product 178,Sports,Football,Brand D,9916.9,12959.87
179,Fitness Product 179,Sports,Fitness,Brand D,3473.82,5348.8
180,Makeup Product 180,Beauty,Makeup,Brand B,3604.15,4731.24
181,Makeup Product 181,Beauty,Makeup,Brand B,26236.53,48053.89
182,Haircare Product 182,Beauty,Haircare,Brand E,12651.69,20847.83
183,Skincare Product 183,Beauty,Skincare,Brand B,22604.43,35257.3
184,Fitness Product 184,Sports,Fitness,Brand C,20285.88,26037.7
185,Makeup Product 185,Beauty,Makeup,Brand D,5720.99,8491.4
186,Kitchen Product 186,Home,Kitchen,Brand E,20305.49,40094.98
187,Shirt Product 187,Fashion,Shirt,Brand D,16886.93,28243.8
188,Fitness Product 188,Sports,Fitness,Brand C,11574.31,16843.86
189,Laptop Product 189,Electronics,Laptop,Brand B,18345.36,32108.39
190,Shoes Product 190,Fashion,Shoes,Brand A,16247.56,22804.04
191,Fitness Product 191,Sports,Fitness,Brand A,25874.62,34445.12
192,Kitchen Product 192,Home,Kitchen,Brand B,8739.11,17284.28
193,Saree Product 193,Fashion,Saree,Brand B,26683.74,41693.59
194,Shoes Product 194,Fashion,Shoes,Brand B,20984.69,26058.68
195,Fitness Product 195,Sports,Fitness,Brand E,8692.05,13139.99
196,Shoes Product 196,Fashion,Shoes,Brand B,14816.26,18251.33
197,Shoes Product 197,Fashion,Shoes,Brand E,14978.89,27671.18
198,Football Product 198,Sports,Football,Brand D,22725.03,28596.88
199,Headphones Product 199,Electronics,Headphones,Brand B,15082.26,23826.69
200,Headphones Product 200,Electronics,Headphones,Brand D,23938.11,36634.73
201,Fitness Product 201,Sports,Fitness,Brand C,5842.15,7999.17
202,Kitchen Product 202,Home,Kitchen,Brand A,26990.91,34596.11
203,Fitness Product 203,Sports,Fitness,Brand E,6753.75,13222.37
204,Tablet Product 204,Electronics,Tablet,Brand C,27776.52,45741.71
205,Laptop Product 205,Electronics,Laptop,Brand C,4251.25,6545.69
206,Shoes Product 206,Fashion,Shoes,Brand E,8312.98,10513.39
207,Fitness Product 207,Sports,Fitness,Brand D,28163.69,48179.55
208,Skincare Product 208,Beauty,Skincare,Brand B,21956.24,30087.38
209,Saree Product 209,Fashion,Saree,Brand C,20356.41,36861.37
210,Jeans Product 210,Fashion,Jeans,Brand A,17327.72,25341.49
211,Kitchen Product 211,Home,Kitchen,Brand E,14045.89,17008.54
212,Laptop Product 212,Electronics,Laptop,Brand E,29336.16,53757.74
213,Football Product 213,Sports,Football,Brand B,11783.2,19146.73
214,Shoes Product 214,Fashion,Shoes,Brand B,24129.16,45928.86
215,Fitness Product 215,Sports,Fitness,Brand A,3399.15,5974.94
216,Shoes Product 216,Fashion,Shoes,Brand B,29866.5,36166.6
217,Jeans Product 217,Fashion,Jeans,Brand A,8017.01,11047.63
218,Football Product 218,Sports,Football,Brand B,22299.94,39130.61
219,Skincare Product 219,Beauty,Skincare,Brand D,18940.05,34276.51
220,Cricket Product 220,Sports,Cricket,Brand B,8022.79,14412.68
221,Jeans Product 221,Fashion,Jeans,Brand D,26861.1,32483.16
222,Laptop Product 222,Electronics,Laptop,Brand C,26714.78,38511.64
223,Saree Product 223,Fashion,Saree,Brand C,24211.76,29233.13
224,Tablet Product 224,Electronics,Tablet,Brand D,9496.96,17607.1
225,Shoes Product 225,Fashion,Shoes,Brand D,19650.13,25487.08
226,Tablet Product 226,Electronics,Tablet,Brand B,29217.7,44344.35
227,Haircare Product 227,Beauty,Haircare,Brand D,2408.75,2957.45
228,Headphones Product 228,Electronics,Headphones,Brand A,20690.52,41263.58
229,Laptop Product 229,Electronics,Laptop,Brand C,3645.23,4674.12
230,Headphones Product 230,Electronics,Headphones,Brand A,4018.42,6468.38
231,Saree Product 231,Fashion,Saree,Brand E,960.61,1711.63
232,Saree Product 232,Fashion,Saree,Brand A,13795.95,22417.26
233,Football Product 233,Sports,Football,Brand C,6182.2,9453.93
234,Mobile Product 234,Electronics,Mobile,Brand B,6475.95,9236.7
235,Haircare Product 235,Beauty,Haircare,Brand E,24465.98,44097.68
236,Saree Product 236,Fashion,Saree,Brand E,7765.55,11376.82
237,Cricket Product 237,Sports,Cricket,Brand C,7862.02,13321.68
238,Cricket Product 238,Sports,Cricket,Brand C,17161.41,27703.2
239,Fitness Product 239,Sports,Fitness,Brand C,6192.13,11924.79
240,Decor Product 240,Home,Decor,Brand E,14092.47,24290.74
241,Jeans Product 241,Fashion,Jeans,Brand A,4599.55,7197.62
242,Saree Product 242,Fashion,Saree,Brand A,20548.55,37224.1
243,Furniture Product 243,Home,Furniture,Brand A,27944.65,45895.11
244,Decor Product 244,Home,Decor,Brand B,11274.37,15991.78
245,Tablet Product 245,Electronics,Tablet,Brand E,3111.58,5030.76
246,Cricket Product 246,Sports,Cricket,Brand C,11434.4,22153.88
247,Shoes Product 247,Fashion,Shoes,Brand E,21354.9,35572.15
248,Skincare Product 248,Beauty,Skincare,Brand D,14311.48,25721.36
249,Laptop Product 249,Electronics,Laptop,Brand C,11497.89,22390.04
250,Shirt Product 250,Fashion,Shirt,Brand E,22428.48,38147.75
251,Football Product 251,Sports,Football,Brand A,17825.21,26496.61
252,Jeans Product 252,Fashion,Jeans,Brand C,9431.43,17904.67
253,Tablet Product 253,Electronics,Tablet,Brand C,12994.41,24550.42
254,Football Product 254,Sports,Football,Brand E,28474.14,42304.77
255,Jeans Product 255,Fashion,Jeans,Brand B,882.48,1735.99
256,Skincare Product 256,Beauty,Skincare,Brand C,25551.09,45029.18
257,Skincare Product 257,Beauty,Skincare,Brand A,23655.61,46614.85
258,Headphones Product 258,Electronics,Headphones,Brand B,12177.22,20911.67
259,Furniture Product 259,Home,Furniture,Brand D,23547.36,46618.82
260,Skincare Product 260,Beauty,Skincare,Brand C,6838.67,11781.3
261,Fitness Product 261,Sports,Fitness,Brand B,1004.15,1927.26
262,Makeup Product 262,Beauty,Makeup,Brand A,23733.42,32187.59
263,Football Product 263,Sports,Football,Brand C,22904.49,29310.21
264,Football Product 264,Sports,Football,Brand C,28806.11,43303.34
265,Mobile Product 265,Electronics,Mobile,Brand C,17338.99,21235.37
266,Skincare Product 266,Beauty,Skincare,Brand E,25888.13,39854.01
267,Jeans Product 267,Fashion,Jeans,Brand B,6502.73,9296.32
268,Decor Product 268,Home,Decor,Brand B,19628.82,31201.04
269,Laptop Product 269,Electronics,Laptop,Brand E,823.01,1614.11
270,Tablet Product 270,Electronics,Tablet,Brand B,29452.0,54924.08
271,Mobile Product 271,Electronics,Mobile,Brand A,23221.29,32797.25
272,Decor Product 272,Home,Decor,Brand B,28576.67,44409.76
273,Fitness Product 273,Sports,Fitness,Brand D,10650.93,14628.05
274,Shirt Product 274,Fashion,Shirt,Brand C,15500.0,20633.45
275,Skincare Product 275,Beauty,Skincare,Brand C,14785.59,23523.12
276,Jeans Product 276,Fashion,Jeans,Brand A,7495.36,12438.52
277,Skincare Product 277,Beauty,Skincare,Brand E,12388.43,20059.09
278,Mobile Product 278,Electronics,Mobile,Brand C,13076.67,21465.63
279,Laptop Product 279,Electronics,Laptop,Brand D,3181.29,6194.6
280,Headphones Product 280,Electronics,Headphones,Brand A,20237.71,35292.58
281,Fitness Product 281,Sports,Fitness,Brand E,16550.57,22503.31
282,Cricket Product 282,Sports,Cricket,Brand B,19770.59,26044.99
283,Saree Product 283,Fashion,Saree,Brand E,15526.93,24516.29
284,Kitchen Product 284,Home,Kitchen,Brand A,28931.54,42229.68
285,Football Product 285,Sports,Football,Brand B,10552.44,20525.41
286,Headphones Product 286,Electronics,Headphones,Brand D,10040.33,14620.39
287,Kitchen Product 287,Home,Kitchen,Brand C,16976.85,22914.38
288,Jeans Product 288,Fashion,Jeans,Brand E,7656.17,13622.9
289,Skincare Product 289,Beauty,Skincare,Brand D,792.42,1294.0
290,Laptop Product 290,Electronics,Laptop,Brand C,9639.11,12541.21
291,Furniture Product 291,Home,Furniture,Brand D,29243.35,51207.83
292,Jeans Product 292,Fashion,Jeans,Brand D,11223.91,20893.75
293,Shoes Product 293,Fashion,Shoes,Brand B,21804.13,26438.73
294,Kitchen Product 294,Home,Kitchen,Brand D,24546.1,31625.22
295,Furniture Product 295,Home,Furniture,Brand A,5769.9,9425.87
296,Furniture Product 296,Home,Furniture,Brand E,10675.54,13351.42
297,Shirt Product 297,Fashion,Shirt,Brand E,19942.41,29853.43
298,Haircare Product 298,Beauty,Haircare,Brand A,29385.99,41322.95
299,Headphones Product 299,Electronics,Headphones,Brand A,19775.42,28160.0
300,Laptop Product 300,Electronics,Laptop,Brand B,13119.58,20646.8
301,Cricket Product 301,Sports,Cricket,Brand D,11225.0,14830.31
302,Kitchen Product 302,Home,Kitchen,Brand E,22010.75,36290.04
303,Furniture Product 303,Home,Furniture,Brand C,15437.47,26383.85
304,Furniture Product 304,Home,Furniture,Brand C,29192.48,45900.83
305,Headphones Product 305,Electronics,Headphones,Brand D,12402.99,16565.63
306,Shoes Product 306,Fashion,Shoes,Brand B,25246.68,47107.99
307,Shoes Product 307,Fashion,Shoes,Brand E,659.37,847.81
308,Shoes Product 308,Fashion,Shoes,Brand C,2273.54,3631.05
309,Headphones Product 309,Electronics,Headphones,Brand E,604.73,894.56
310,Haircare Product 310,Beauty,Haircare,Brand D,20253.92,37532.91
311,Shoes Product 311,Fashion,Shoes,Brand E,4395.84,7106.15
312,Headphones Product 312,Electronics,Headphones,Brand A,3007.83,4367.82
313,Jeans Product 313,Fashion,Jeans,Brand D,22620.37,41489.39
314,Fitness Product 314,Sports,Fitness,Brand B,742.52,967.4
315,Saree Product 315,Fashion,Saree,Brand C,24437.63,31255.79
316,Skincare Product 316,Beauty,Skincare,Brand E,18567.82,25751.63
317,Football Product 317,Sports,Football,Brand B,4578.31,7593.16
318,Makeup Product 318,Beauty,Makeup,Brand E,13848.84,26198.44
319,Fitness Product 319,Sports,Fitness,Brand D,1356.37,2666.22
320,Tablet Product 320,Electronics,Tablet,Brand C,26852.47,43490.03
321,Furniture Product 321,Home,Furniture,Brand E,25761.22,42266.85
322,Haircare Product 322,Beauty,Haircare,Brand C,13356.9,21565.36
323,Headphones Product 323,Electronics,Headphones,Brand A,15628.67,18864.11
324,Furniture Product 324,Home,Furniture,Brand B,21205.93,28923.46
